Name,ShopIconFileName,ShopIconExportName,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,TileWidth,TileHeight,Price,DiamondPrice,Vouchers,VoucherCount,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,AttractsButterflies,BirdsLand,SpawnsBirds,SpawnsFrogs,TapSound,CanBuy,SpinWheelPrize,BuyExp,Theme,TagSpecial,TagNature,TagDeco,TagSanctuary,TagStatue,HideFromLevelUpScreen,SanctuaryAnimal,PerceivedValue,,,,,,,,
String,String,String,int,int,int,String,String,int,int,int,int,String,int,int,int,String,String,String,Boolean,Boolean,Boolean,Boolean,String,Boolean,Boolean,int,String,Boolean,Boolean,Boolean,Boolean,Boolean,Boolean,String,int,,,,,,,,
Flowerpot,sc/icons_decos.sc,shop_icon_flowerpot_1,8,0,,sc/decos01_generic.sc,flowerpot_1,1,1,24,,,,5,1,TID_FLOWERPOT_1_DESCRIPTION,TID_FLOWERPOT_1,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,3,,,TRUE,,,,,,,,,,,,,,
Flowerbed_1,sc/icons_decos.sc,shop_icon_flowerbed_1,9,0,,sc/decos01_generic.sc,flowerbed_1x1_1,1,1,49,,,,10,1,TID_FLOWERBED_1_DESCRIPTION,TID_FLOWERBED_1,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,5,,,TRUE,,,,,,,,,,,,,,
Flowerbed_2,sc/icons_decos.sc,shop_icon_flowerbed_2,14,0,,sc/decos01_generic.sc,flowerbed_1x1_2,1,1,69,,,,10,1,TID_FLOWERBED_2_DESCRIPTION,TID_FLOWERBED_2,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,7,,,TRUE,,,,,,,,,,,,,,
Barrel_1,sc/icons_decos.sc,shop_icon_barrel_1,8,0,,sc/decos01_generic.sc,barrel_1,1,1,99,,,,50,1,TID_BARREL_1_DESCRIPTION,TID_BARREL_1,Buy,,,,,TapDecorationGeneric,TRUE,,10,,,,TRUE,,,,,,,,,,,,,
Barrel_2,sc/icons_decos.sc,shop_icon_barrel_2,17,0,,sc/decos01_generic.sc,barrel_2,1,1,200,,,,100,1,TID_BARREL_2_DESCRIPTION,TID_BARREL_2,Buy,,,,,TapDecorationGeneric,TRUE,,15,,,,TRUE,,,,,,,,,,,,,
Birdhouse_1,sc/icons_decos.sc,shop_icon_birdhouse_1,13,0,,sc/decos01_generic.sc,birdhouse_1,1,1,349,,,,150,1,TID_BIRDHOUSE_1_DESCRIPTION,TID_BIRDHOUSE_1,Buy,,TRUE,TRUE,,TapDecorationGeneric,TRUE,,25,,,,TRUE,,,,,,,,,,,,,
Gazebo_1,sc/icons_decos.sc,shop_icon_gazebo_1,19,0,,sc/decos01_generic.sc,gazebo_1,2,2,2500,,,,500,1,TID_GAZEBO_1_DESCRIPTION,TID_GAZEBO_1,Buy,,,,,TapDecorationGeneric,TRUE,,50,,,,TRUE,,,,,,,,,,,,,
Lantern,sc/icons_decos.sc,shop_icon_lantern,12,0,,sc/decos01_generic.sc,lantern,1,1,175,,,,50,1,TID_LANTERN_DESCRIPTION,TID_LANTERN,Buy,,,,,TapDecorationGeneric,TRUE,,12,,,,TRUE,,,,,,,,,,,,,
Haycart,sc/icons_decos.sc,shop_icon_haycart,15,0,,sc/decos01_generic.sc,haycart,1,1,300,,,,100,1,TID_HAYCART_DESCRIPTION,TID_HAYCART,Buy,,,,,TapDecorationGeneric,TRUE,,20,,,,TRUE,,,,,,,,,,,,,
