Name,TID,GameObject,Part,FileName,ExportName,TintPart,MulColorR,MulColorG,MulColorB,AddColorR,AddColorG,AddColorB,Price,DiamondPrice,Vouchers,VoucherCount,Default,Disabled,TutorialPart,BuyBackCoinPrice
String,String,String,String,String,String,String,int,int,int,int,int,int,int,int,String,int,boolean,boolean,boolean,int
BuildingOriginalWhite,TID_ORIGINAL_WHITE,Home,Building,sc/whitehouse_skins.sc,home_building_original,Tint01,100,100,100,0,0,0,1000,,,,TRUE,,,
,,,,,,Tint02,100,100,100,0,0,0,,,,,,,,
BuildingOriginalGrue,TID_ORIGINAL_GRUE,Home,Building,sc/whitehouse_skins.sc,home_building_original,Tint01,50,50,50,0,0,30,150000,,,,,,,
,,,,,,Tint02,100,100,100,0,0,0,,,,,,,,
BuildingOriginalTeal,TID_ORIGINAL_TEAL,Home,Building,sc/whitehouse_skins.sc,home_building_original,Tint01,30,60,60,0,0,0,,,Voucher1,20,,,,
,,,,,,Tint02,100,100,100,0,0,0,,,Voucher2,20,,,,
BuildingOriginalDark,TID_ORIGINAL_DARK,Home,Building,sc/whitehouse_skins.sc,home_building_original,Tint01,15,25,30,45,0,30,,,Voucher1,10,,,,
,,,,,,Tint02,100,100,100,0,0,0,,,Voucher2,5,,,,
BuildingOriginalYeleen,TID_ORIGINAL_YELEEN,Home,Building,sc/whitehouse_skins.sc,home_building_original,Tint01,60,60,0,40,30,0,120000,,,,,,,
,,,,,,Tint02,100,100,100,0,0,0,,,,,,,,
BuildingOriginalBoring,TID_ORIGINAL_BORING,Home,Building,sc/whitehouse_skins.sc,home_building_original,Tint01,40,45,40,70,10,0,60000,,,,,,,
,,,,,,Tint02,30,35,20,70,10,0,,,,,,,,
BuildingBarnRed,TID_BARN_RED,Home,Building,sc/whitehouse_skins.sc,home_building_barn,Tint01,100,100,100,0,0,0,,35,,,,,,350000
BuildingCountryGrey,TID_COUNTRY_GREY,Home,Building,sc/whitehouse_skins.sc,home_building_country,Tint01,80,80,80,10,10,0,,,Voucher1,15,,,,
,,,,,,Tint02,80,80,80,0,0,0,,,,,,,,
BuildingCountryPink,TID_COUNTRY_PINK,Home,Building,sc/whitehouse_skins.sc,home_building_country,Tint01,70,70,70,80,40,25,,15,,,,,,150000
,,,,,,Tint02,70,70,70,70,30,15,,,,,,,,
BuildingCountryRed,TID_COUNTRY_RED,Home,Building,sc/whitehouse_skins.sc,home_building_country,Tint01,60,40,40,60,10,0,280000,,,,,,,
,,,,,,Tint02,100,100,100,60,60,60,,,,,,,,
BuildingCountryYellow,TID_COUNTRY_YELLOW,Home,Building,sc/whitehouse_skins.sc,home_building_country,Tint01,100,100,50,40,10,0,,,Voucher1,20,,,,
,,,,,,Tint02,100,100,100,60,60,60,,,Voucher4,5,,,,
BuildingCountryWhite,TID_COUNTRY_WHITE,Home,Building,sc/whitehouse_skins.sc,home_building_country,Tint01,100,100,100,10,10,10,,,Voucher3,5,,,,
,,,,,,Tint02,100,100,100,0,0,0,,,Voucher4,5,,,,
BuildingHalfnhalfBlue,TID_HALFNHALF_BLUE,Home,Building,sc/whitehouse_skins.sc,home_building_halfnhalf,Tint01,100,90,90,0,0,0,,25,,,,,,250000
,,,,,,Tint02,25,30,30,0,20,60,,,,,,,,
BuildingHalfnhalfOld,TID_HALFNHALF_OLD,Home,Building,sc/whitehouse_skins.sc,home_building_halfnhalf,Tint01,100,50,50,30,100,10,250000,,,,,,,
,,,,,,Tint02,60,60,40,0,40,10,,,,,,,,
BuildingHalfnhalfRetirement,TID_HALFNHALF_RETIREMENT,Home,Building,sc/whitehouse_skins.sc,home_building_halfnhalf,Tint01,100,100,80,20,10,0,,,Voucher1,40,,,,
