Name,FileName,ExportName,TID,DescriptionTID,IconFileName,IconExportName,IconShadowExportName
String,String,String,String,String,String,String,String
Birthday Hat Pink,sc/animals.sc,accessory_hat_birthday,TID_ANIMAL_ACCESSORY_HAT_BIRTHDAY_PINK,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_birthday_64x64,icon_hat_birthday_64x64_shadow
Birthday Hat Blue,sc/animals.sc,accessory_hat_birthday_blue,TID_ANIMAL_ACCESSORY_HAT_BIRTHDAY_PURPLE,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_birthday_blue_64x64,icon_hat_birthday_blue_64x64_shadow
Birthday Hat Rainbow,sc/animals.sc,accessory_hat_birthday_rainbow,TID_ANIMAL_ACCESSORY_HAT_BIRTHDAY_RAINBOW,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_birthday_rainbow_64x64,icon_hat_birthday_rainbow_64x64_shadow
Beanie Green,sc/animals.sc,accessory_hat_beanie_green,TID_ANIMAL_ACCESSORY_HAT_BEANIE_GREEN,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_beanie_green_64x64,icon_hat_beanie_green_64x64_shadow
Beanie Purple,sc/animals.sc,accessory_hat_beanie_purple,TID_ANIMAL_ACCESSORY_HAT_BEANIE_PURPLE,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_beanie_purple_64x64,icon_hat_beanie_purple_64x64_shadow
Beanie Hay,sc/animals.sc,accessory_hat_beanie_hay,TID_ANIMAL_ACCESSORY_HAT_BEANIE_HAY,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_beanie_hay_64x64,icon_hat_beanie_hay_64x64_shadow
Beanie Red,sc/animals.sc,accessory_hat_beanie_red,TID_ANIMAL_ACCESSORY_HAT_BEANIE_RED,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_beanie_red_64x64,icon_hat_beanie_red_64x64_shadow
Cap Propeller,sc/animals.sc,accessory_hat_cap,TID_ANIMAL_ACCESSORY_HAT_CAP_PROPELLER,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_cap_propeller_64x64,icon_hat_cap_propeller_64x64_shadow
Cap Baseball,sc/animals.sc,accessory_hat_cap_baseball,TID_ANIMAL_ACCESSORY_HAT_CAP_BASEBALL,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_cap_baseball_64x64,icon_hat_cap_baseball_64x64_shadow
Cap Pompom,sc/animals.sc,accessory_hat_cap_pompom,TID_ANIMAL_ACCESSORY_HAT_CAP_POMPOM,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_cap_pompom_64x64,icon_hat_cap_pompom_64x64_shadow
Emperor Red,sc/animals.sc,accessory_hat_emperor_red,TID_ANIMAL_ACCESSORY_HAT_EMPEROR_RED,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_emperor_red_64x64,icon_hat_emperor_red_64x64_shadow
Emperor Green,sc/animals.sc,accessory_hat_emperor_green,TID_ANIMAL_ACCESSORY_HAT_EMPEROR_GREEN,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_emperor_green_64x64,icon_hat_emperor_green_64x64_shadow
Emperor Blue,sc/animals.sc,accessory_hat_emperor_blue,TID_ANIMAL_ACCESSORY_HAT_EMPEROR_BLUE,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_emperor_blue_64x64,icon_hat_emperor_blue_64x64_shadow
Swiss Hat Green,sc/animals.sc,accessory_hat_swiss_green,TID_ANIMAL_ACCESSORY_HAT_SWISS_GREEN,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_swiss_green_64x64,icon_hat_swiss_green_64x64_shadow
Swiss Hat Blue,sc/animals.sc,accessory_hat_swiss_blue,TID_ANIMAL_ACCESSORY_HAT_SWISS_BLUE,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_swiss_blue_64x64,icon_hat_swiss_blue_64x64_shadow
Swiss Hat Brown,sc/animals.sc,accessory_hat_swiss_brown,TID_ANIMAL_ACCESSORY_HAT_SWISS_BROWN,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_swiss_brown_64x64,icon_hat_swiss_brown_64x64_shadow
Swiss Hat Gray,sc/animals.sc,accessory_hat_swiss_cray,TID_ANIMAL_ACCESSORY_HAT_SWISS_GRAY,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_swiss_gray_64x64,icon_hat_swiss_gray_64x64_shadow
Cowboy Hat Brown,sc/animals.sc,accessory_hat_cowboy_brown,TID_ANIMAL_ACCESSORY_HAT_COWBOY_BROWN,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_cowboy_brown_64x64,icon_hat_cowboy_brown_64x64_shadow
Cowboy Hat Cognac,sc/animals.sc,accessory_hat_cowboy_cognac,TID_ANIMAL_ACCESSORY_HAT_COWBOY_COGNAG,TID_ANIMAL_ACCESSORY_HAT_DESC,sc/animals.sc,icon_hat_cowboy_cognac_64x64,icon_hat_cowboy_cognac_64x64_shadow
